[LOG] System::create                           : Header version = 2.02.20. Current version = 2.02.20.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0000000000000000.
[LOG] SystemI::init                            : Initialize version=20220 (139317), maxchannels=256, flags=0x00020000
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD WASAPI Output'
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=2, nSamplesPerSec=48000, nAvgBytesPerSec=384000, nBlockAlign=8, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x00000003, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] OutputWASAPI::init                       : Output buffer size: 4096 samples, latency: 0.00ms, period: 10.00ms, DSP buffer: 1024 * 4
[LOG] Thread::initThread                       : Init FMOD stream thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFB, Stack Size: 98304, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] Thread::initThread                       : Init FMOD mixer thread. Affinity: 0x4000000000000001, Priority: 0xFFFF7FFA, Stack Size: 81920, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       : manager 000001CCDC4A24F8 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            : done.
[ERR] RuntimeBankModel::openFile               : Failed to open file '../../Fmod/Tryout/Build/Desktop/Master.strings.bank'
[ERR] RuntimeBankModel::openFile               : Failed to open file '../../Fmod/Tryout/Build/Desktop/Ambiance.bank'
[ERR] RuntimeBankModel::openFile               : Failed to open file '../../Fmod/Tryout/Build/Desktop/Master.bank'
[ERR] RuntimeBankModel::openFile               : Failed to open file '../../Fmod/Tryout/Build/Desktop/Music.bank'
[ERR] RuntimeBankModel::openFile               : Failed to open file '../../Fmod/Tryout/Build/Desktop/SFX.bank'
[WRN] ObjectLookup::get                        : Lookup failed for EventModel: {1d312978-790d-4d06-bad8-16f62c88db40}
[WRN] ObjectLookup::get                        : Lookup failed for EventModel: {b77ec3f6-e890-4dc7-94ea-ac130b0b4bbc}
[WRN] ObjectLookup::get                        : Lookup failed for EventModel: {d2a03218-d383-43c4-9862-b7d1f01ec163}
[WRN] ObjectLookup::get                        : Lookup failed for EventModel: {5c05392e-8412-433d-95de-06252385e47b}
[WRN] ObjectLookup::get                        : Lookup failed for EventModel: {94df7a6f-311b-4be3-b217-6b3b3fe4c328}
